id_default_charges,shipment_scheme,is_marketplace,pickup_provider_type,first_shipment_provider,rounding_seller,seller_flat_charge_rate,seller_charge_rate,rate_card_scheme,rounding_3pl,pickup_cost_rate,pickup_cost_discount,pickup_cost_vat,delivery_cost_rate_vat,start_date,end_date
1,DIGITAL,NULL,NULL,NULL,0,0,0,NULL,0,0,0,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
2,CROSS BORDER,NULL,NULL,NULL,0,0,0,CB,0,0,0,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
3,RETAIL,0,NULL,NULL,0,0,0,LEL,0,0,0,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
4,EXPRESS DIRECT BILLING,1,NULL,NULL,0.3,0,7000,JNE,0.3,0,0,0,0,1900-01-01 00:00:00,2017-07-31 23:59:59
5,EXPRESS DIRECT BILLING,1,NULL,NULL,0.3,5000,0,JNE,0.3,0,0,0,0,2017-08-01 00:00:00,2017-09-03 23:59:59
6,EXPRESS DIRECT BILLING,1,NULL,NULL,0.3,0,7000,JNE,0.3,0,0,0,0,2017-09-04 00:00:00,2017-11-30 23:59:59
7,EXPRESS DIRECT BILLING,1,NULL,NULL,0.3,0,0,JNE,0.3,0,0,0,0,2017-12-01 00:00:00,9999-12-31 23:59:59
8,EXPRESS FBL,1,LEX,LEX,0,0,6464,LEL,0,0,0,0,0.01,1900-01-01 00:00:00,2017-03-31 23:59:59
9,EXPRESS FBL,1,NULL,NULL,0,0,7000,LEL,0,0,0,0,0.01,1900-01-01 00:00:00,2017-03-31 23:59:59
10,EXPRESS FBL,1,LEX,LEX,0.3,0,6464,LEL,0,0,0,0,0.01,2017-04-01 00:00:00,2017-06-30 23:59:59
11,EXPRESS FBL,1,NULL,NULL,0.3,0,7000,LEL,0,0,0,0,0.01,2017-04-01 00:00:00,2017-06-30 23:59:59
12,EXPRESS FBL,1,LEX,LEX,0.3,0,6000,LEL,0,0,0,0,0.01,2017-07-01 00:00:00,2017-07-31 23:59:59
13,EXPRESS FBL,1,NULL,NULL,0.3,0,6500,LEL,0,0,0,0,0.01,2017-07-01 00:00:00,2017-07-31 23:59:59
14,EXPRESS FBL,1,LEX,LEX,0.3,5000,0,LEL,0,0,0,0,0.01,2017-08-01 00:00:00,2017-09-03 23:59:59
15,EXPRESS FBL,1,NULL,NULL,0.3,5000,0,LEL,0,0,0,0,0.01,2017-08-01 00:00:00,2017-09-03 23:59:59
16,EXPRESS FBL,1,LEX,LEX,0.3,0,6500,LEL,0,0,0,0,0.01,2017-09-04 00:00:00,2017-11-30 23:59:59
17,EXPRESS FBL,1,NULL,NULL,0.3,0,7000,LEL,0,0,0,0,0.01,2017-09-04 00:00:00,2017-11-30 23:59:59
18,EXPRESS FBL,1,LEX,LEX,0.3,0,0,LEL,0,0,0,0,0.01,2017-12-01 00:00:00,9999-12-31 23:59:59
19,EXPRESS FBL,1,NULL,NULL,0.3,0,0,LEL,0,0,0,0,0.01,2017-12-01 00:00:00,9999-12-31 23:59:59
20,EXPRESS MASTER ACCOUNT,1,LEX,LEX,0,0,6464,LEL,0,1500,0.2,0.01,0.01,1900-01-01 00:00:00,2017-03-31 23:59:59
21,EXPRESS MASTER ACCOUNT,1,NULL,NULL,0,0,7000,LEL,0,0,0,0,0.01,1900-01-01 00:00:00,2017-03-31 23:59:59
22,EXPRESS MASTER ACCOUNT,1,LEX,LEX,0.3,0,6464,LEL,0,1500,0.2,0.01,0.01,2017-04-01 00:00:00,2017-07-31 23:59:59
23,EXPRESS MASTER ACCOUNT,1,NULL,NULL,0.3,0,7000,LEL,0,0,0,0,0.01,2017-04-01 00:00:00,2017-07-31 23:59:59
24,EXPRESS MASTER ACCOUNT,1,LEX,LEX,0.3,5000,0,LEL,0,1500,0.2,0.01,0.01,2017-08-01 00:00:00,2017-09-03 23:59:59
25,EXPRESS MASTER ACCOUNT,1,NULL,NULL,0.3,5000,0,LEL,0,0,0,0,0.01,2017-08-01 00:00:00,2017-09-03 23:59:59
26,EXPRESS MASTER ACCOUNT,1,LEX,LEX,0.3,0,6500,LEL,0,1500,0.2,0.01,0.01,2017-09-04 00:00:00,2017-11-30 23:59:59
27,EXPRESS MASTER ACCOUNT,1,NULL,NULL,0.3,0,7000,LEL,0,0,0,0,0.01,2017-09-04 00:00:00,2017-11-30 23:59:59
28,EXPRESS MASTER ACCOUNT,1,LEX,LEX,0.3,0,0,LEL,0,1500,0.2,0.01,0.01,2017-12-01 00:00:00,9999-12-31 23:59:59
29,EXPRESS MASTER ACCOUNT,1,NULL,NULL,0.3,0,0,LEL,0,0,0,0,0.01,2017-12-01 00:00:00,9999-12-31 23:59:59
30,DIRECT BILLING,1,NULL,NULL,0.3,0,7000,JNE,0.3,0,0,0,0,1900-01-01 00:00:00,2017-11-30 23:59:59
31,DIRECT BILLING,1,NULL,NULL,0.3,0,0,JNE,0.3,0,0,0,0,2017-12-01 00:00:00,9999-12-31 23:59:59
32,FBL,1,LEX,LEX,0,0,6464,LEL,0,0,0,0,0.01,1900-01-01 00:00:00,2017-03-31 23:59:59
33,FBL,1,NULL,NULL,0,0,7000,LEL,0,0,0,0,0.01,1900-01-01 00:00:00,2017-03-31 23:59:59
34,FBL,1,LEX,LEX,0.3,0,6464,LEL,0,0,0,0,0.01,2017-04-01 00:00:00,2017-06-30 23:59:59
35,FBL,1,NULL,NULL,0.3,0,7000,LEL,0,0,0,0,0.01,2017-04-01 00:00:00,2017-06-30 23:59:59
36,FBL,1,LEX,LEX,0.3,0,6000,LEL,0,0,0,0,0.01,2017-07-01 00:00:00,2017-09-03 23:59:59
37,FBL,1,NULL,NULL,0.3,0,6500,LEL,0,0,0,0,0.01,2017-07-01 00:00:00,2017-09-03 23:59:59
38,FBL,1,LEX,LEX,0.3,0,6500,LEL,0,0,0,0,0.01,2017-09-04 00:00:00,2017-11-30 23:59:59
39,FBL,1,NULL,NULL,0.3,0,7000,LEL,0,0,0,0,0.01,2017-09-04 00:00:00,2017-11-30 23:59:59
40,FBL,1,LEX,LEX,0.3,0,0,LEL,0,0,0,0,0.01,2017-12-01 00:00:00,9999-12-31 23:59:59
41,FBL,1,NULL,NULL,0.3,0,0,LEL,0,0,0,0,0.01,2017-12-01 00:00:00,9999-12-31 23:59:59
42,MASTER ACCOUNT,1,LEX,LEX,0,0,6464,LEL,0,1500,0.2,0.01,0.01,1900-01-01 00:00:00,2017-03-31 23:59:59
43,MASTER ACCOUNT,1,NULL,NULL,0,0,7000,LEL,0,0,0,0,0.01,1900-01-01 00:00:00,2017-03-31 23:59:59
44,MASTER ACCOUNT,1,LEX,LEX,0.3,0,6464,LEL,0,1500,0.2,0.01,0.01,2017-04-01 00:00:00,2017-09-03 23:59:59
45,MASTER ACCOUNT,1,NULL,NULL,0.3,0,7000,LEL,0,0,0,0,0.01,2017-04-01 00:00:00,2017-09-03 23:59:59
46,MASTER ACCOUNT,1,LEX,LEX,0.3,0,6500,LEL,0,1500,0.2,0.01,0.01,2017-09-04 00:00:00,2017-11-30 23:59:59
47,MASTER ACCOUNT,1,NULL,NULL,0.3,0,7000,LEL,0,0,0,0,0.01,2017-09-04 00:00:00,2017-11-30 23:59:59
48,MASTER ACCOUNT,1,LEX,LEX,0.3,0,0,LEL,0,1500,0.2,0.01,0.01,2017-12-01 00:00:00,9999-12-31 23:59:59
49,MASTER ACCOUNT,1,NULL,NULL,0.3,0,0,LEL,0,0,0,0,0.01,2017-12-01 00:00:00,9999-12-31 23:59:59
